"w","N1","N2","d","t"
25,3833,6434,36111.2790447244,75.3970958236842
3,3833,2187,34070.5199642054,75.2982093096154
3,3833,680,43143.3859954421,96.39362963
0,3833,64,56000.104259725,126.829601
90,4216,1071785,239449.953829342,147.484915459724
20,4216,27025,7666.61715935267,18.808319277
0,4216,189560,1985.05698184168,7.48491545972414
32,4216,6434,36696.3871155644,74.5221130836842
2,4216,2187,34070.6266115926,73.7232324596154
3,4216,680,43399.0234870486,95.51864686
0,4216,64,56346.4520946905,125.9546182
109,2600,1071785,239292.034758509,147.738284318782
3,2600,27025,6669.16403217892,18.252892450973
0,2600,189560,1596.06082738376,7.73828431878161
6,2600,6434,37299.065164923,75.0775346728947
1,2600,2187,34100.0009596615,73.2148917665385
3,2600,680,43676.0125208345,96.074068456
0,2600,64,56708.2816455985,126.5100398
115,3624,1071785,239491.704830354,148.044530514724
1,3624,27025,5672.12464989943,17.697465623
0,3624,189560,1774.49746938755,8.04453051472414
5,3624,6434,37918.4753024441,75.6329614986842
7,3624,2187,34158.5673504337,72.6594649419231
0,3624,680,43973.9494865788,96.629495312
0,3624,64,57085.2984012973,127.0654667
4,508,1071785,239986.400928256,148.789056548448
5,508,27025,4675.76342398792,16.5953953925135
0,508,189560,2396.81871028639,8.78905654844827
2,508,6434,38553.8111191327,76.743815151579
1,508,2187,34246.1761511661,71.5486217696154
0,508,680,44292.4117769151,97.740348944
0,508,64,57477.203616981,128.1763203
6,885,1071785,241463.804640344,151.719769706885
1,885,27025,2688.08920664106,17.4838599076216
23,885,189560,4113.38411896815,11.7197697068851
0,885,6434,39869.1953149437,79.8786179581579
1,885,2187,34507.5623197621,72.6594844730769
1,885,680,44989.140437144,100.875151748
0,885,64,58304.4668772851,131.3111231
8,280,1071785,242321.9957548,153.585385621517
0,280,27025,1702.67800804203,17.1751633910541
9,280,189560,5049.67443843413,13.5853856215172
0,280,6434,40547.7931591596,81.8826307581579
0,280,2187,34680.6902393581,72.201726395
0,280,680,45366.4883453856,102.879164548
0,280,64,58739.2129443103,133.3151359
4,615,1071785,243219.654702774,153.680056124954
1,615,27025,752.929105411579,15.3179408323784
13,615,189560,6006.07623911044,13.680056124954
3,615,6434,41239.4155053485,81.9773012602632
1,615,2187,34881.5691920847,69.1822845207692
1,615,680,45762.5293852243,102.973835048
0,615,64,59187.6249968645,133.4098064
27,2731,1071785,244142.714468623,153.312327936264
3,2731,27025,478.738648356618,14.0376854842973
162,2731,189560,6974.32035351684,13.3123279362644
25,2731,6434,41943.4180297643,81.6095730744737
9,2731,2187,35109.7228902176,67.2382906757692
0,2731,680,46176.7826092053,102.606106856
1,2731,64,59649.3948563722,133.0420782
31,2028,1071785,247184.186699312,149.436990573517
6,2028,27025,16659.1239803938,26.6148043437838
3,2028,189560,10505.60051837,9.43699057351724
11,2028,6434,31263.1353219867,66.7156227781579
3,2028,2187,34144.2303868989,74.0268460888462
1,2028,680,40914.8613844941,87.71215657
0,2028,64,52846.9926264297,118.1481279
1,63,1071785,246254.470460742,148.811331480977
0,63,27025,15661.2877950478,25.5039402414324
