areaID,row,col,x,y,pop,pfpr,h,z,lambda
329,3,67,32.354106375,4.104142992,,,,,
330,3,68,32.395773025,4.104142992,,,,,
331,3,69,32.437439675,4.104142992,,,,,
332,3,70,32.479106325,4.104142992,,,,,
333,3,71,32.520772975,4.104142992,,,,,
334,3,72,32.562439625,4.104142992,,,,,
335,3,73,32.604106275,4.104142992,,,,,
336,3,74,32.645772925,4.104142992,,,,,
337,3,75,32.687439575,4.104142992,,,,,
338,3,76,32.729106225,4.104142992,,,,,
339,3,77,32.770772875,4.104142992,,,,,
340,3,78,32.812439525,4.104142992,,,,,
341,3,79,32.854106175,4.104142992,,,,,
342,3,80,32.895772825,4.104142992,,,,,
343,3,81,32.937439475,4.104142992,,,,,
344,3,82,32.979106125,4.104142992,,,,,
345,3,83,33.020772775,4.104142992,,,,,
346,3,84,33.062439425,4.104142992,,,,,
347,3,85,33.104106075,4.104142992,,,,,
348,3,86,33.145772725,4.104142992,,,,,
349,3,87,33.187439375,4.104142992,,,,,
350,3,88,33.229106025,4.104142992,,,,,
351,3,89,33.270772675,4.104142992,,,,,
352,3,90,33.312439325,4.104142992,,,,,
353,3,91,33.354105975,4.104142992,,,,,
354,3,92,33.395772625,4.104142992,,,,,
355,3,93,33.437439275,4.104142992,,,,,
356,3,94,33.479105925,4.104142992,,,,,
357,3,95,33.520772575,4.104142992,,,,,
358,3,96,33.562439225,4.104142992,,,,,
359,3,97,33.604105875,4.104142992,,,,,
360,3,98,33.645772525,4.104142992,,,,,
361,3,99,33.687439175,4.104142992,,,,,
362,3,100,33.729105825,4.104142992,,,,,
363,3,101,33.770772475,4.104142992,,,,,
364,3,102,33.812439125,4.104142992,,,,,
365,3,103,33.854105775,4.104142992,,,,,
366,3,104,33.895772425,4.104142992,5629.2275390625,0.312145148813725,0.00226897541156683,0.0356189413896531,268.304911128403
367,3,105,33.937439075,4.104142992,,0.349529487490654,0.00268674352463927,0.039402798628528,
368,3,106,33.979105725,4.104142992,,0.324011344388127,0.00239657383077566,0.0368299701113356,
369,3,107,34.020772375,4.104142992,,0.375051894336939,0.00300066430267049,0.0419339409489337,
370,3,108,34.062439025,4.104142992,,,,,
371,3,109,34.104105675,4.104142992,,,,,
372,3,110,34.145772325,4.104142992,,,,,
373,3,111,34.187438975,4.104142992,,,,,
374,3,112,34.229105625,4.104142992,,,,,
375,3,113,34.270772275,4.104142992,,,,,
376,3,114,34.312438925,4.104142992,,,,,
377,3,115,34.354105575,4.104142992,,,,,
378,3,116,34.395772225,4.104142992,,,,,
379,3,117,34.437438875,4.104142992,,,,,
380,3,118,34.479105525,4.104142992,,,,,
381,3,119,34.520772175,4.104142992,,,,,
382,3,120,34.562438825,4.104142992,,,,,
383,3,121,34.604105475,4.104142992,,,,,
384,3,122,34.645772125,4.104142992,,,,,
385,3,123,34.687438775,4.104142992,,,,,
386,3,124,34.729105425,4.104142992,,,,,
387,3,125,34.770772075,4.104142992,,,,,
388,3,126,34.812438725,4.104142992,,,,,
389,3,127,34.854105375,4.104142992,,,,,
390,3,128,34.895772025,4.104142992,,,,,
391,3,129,34.937438675,4.104142992,,,,,
392,3,130,34.979105325,4.104142992,,,,,
393,3,131,35.020771975,4.104142992,,,,,
394,4,1,29.604107475,4.062476342,,,,,
395,4,2,29.645774125,4.062476342,,,,,
396,4,3,29.687440775,4.062476342,,,,,
397,4,4,29.729107425,4.062476342,,,,,
398,4,5,29.770774075,4.062476342,,,,,
399,4,6,29.812440725,4.062476342,,,,,
400,4,7,29.854107375,4.062476342,,,,,
401,4,8,29.895774025,4.062476342,,,,,
402,4,9,29.937440675,4.062476342,,,,,
403,4,10,29.979107325,4.062476342,,,,,
404,4,11,30.020773975,4.062476342,,,,,
405,4,12,30.062440625,4.062476342,,,,,
406,4,13,30.104107275,4.062476342,,,,,
407,4,14,30.145773925,4.062476342,,,,,
408,4,15,30.187440575,4.062476342,,,,,
409,4,16,30.229107225,4.062476342,,,,,
410,4,17,30.270773875,4.062476342,,,,,
411,4,18,30.312440525,4.062476342,,,,,
412,4,19,30.354107175,4.062476342,,,,,
413,4,20,30.395773825,4.062476342,,,,,
414,4,21,30.437440475,4.062476342,,,,,
415,4,22,30.479107125,4.062476342,,,,,
416,4,23,30.520773775,4.062476342,,,,,
417,4,24,30.562440425,4.062476342,,,,,
418,4,25,30.604107075,4.062476342,,,,,
419,4,26,30.645773725,4.062476342,,,,,
420,4,27,30.687440375,4.062476342,,,,,
421,4,28,30.729107025,4.062476342,,,,,
422,4,29,30.770773675,4.062476342,,,,,
423,4,30,30.812440325,4.062476342,,,,,
424,4,31,30.854106975,4.062476342,,,,,
425,4,32,30.895773625,4.062476342,,,,,
426,4,33,30.937440275,4.062476342,,,,,
427,4,34,30.979106925,4.062476342,,,,,
428,4,35,31.020773575,4.062476342,,,,,
429,4,36,31.062440225,4.062476342,,,,,
430,4,37,31.104106875,4.062476342,,,,,
431,4,38,31.145773525,4.062476342,,,,,
432,4,39,31.187440175,4.062476342,,,,,
433,4,40,31.229106825,4.062476342,,,,,
434,4,41,31.270773475,4.062476342,,,,,
435,4,42,31.312440125,4.062476342,,,,,
436,4,43,31.354106775,4.062476342,,,,,
437,4,44,31.395773425,4.062476342,,,,,
438,4,45,31.437440075,4.062476342,,,,,
439,4,46,31.479106725,4.062476342,,,,,
440,4,47,31.520773375,4.062476342,,,,,
441,4,48,31.562440025,4.062476342,,,,,
442,4,49,31.604106675,4.062476342,,,,,
443,4,50,31.645773325,4.062476342,,,,,
444,4,51,31.687439975,4.062476342,,,,,
445,4,52,31.729106625,4.062476342,,,,,
446,4,53,31.770773275,4.062476342,,,,,
447,4,54,31.812439925,4.062476342,,,,,
448,4,55,31.854106575,4.062476342,,,,,
449,4,56,31.895773225,4.062476342,,,,,
450,4,57,31.937439875,4.062476342,,,,,
451,4,58,31.979106525,4.062476342,,,,,
452,4,59,32.020773175,4.062476342,,,,,
453,4,60,32.062439825,4.062476342,,,,,
454,4,61,32.104106475,4.062476342,,,,,
455,4,62,32.145773125,4.062476342,,,,,
