"areaId","dest","w","N1","N2","d","t"
395,"ti_ria",6,15397,2187,35150.0450312123,73.4755166296154
395,"ti_mok",10,15397,680,44920.5185338321,97.37319736
395,"ti_ure",1,15397,64,58003.9886391058,127.8091687
396,"to",96,4531,1071785,239264.904096578,148.927251357184
396,"ti_ban",7,4531,27025,4851.78707817209,16.3583367666486
396,"ti_mal",0,4531,189560,1893.21073519691,8.92725135718391
396,"ti_lub",25,4531,6434,39319.5744031492,76.9720903539474
396,"ti_ria",3,4531,2187,35235.1872575866,71.3203360823077
396,"ti_mok",0,4531,680,45232.3132033132,97.968624146
396,"ti_ure",1,4531,64,58389.7235996328,128.4045955
397,"to",30,481,1071785,240092.535346709,149.368663693552
397,"ti_ban",5,481,27025,3901.8198418899,15.8116934639189
397,"ti_mal",3,481,189560,2859.11959471165,9.36866369355173
397,"ti_lub",3,481,6434,39957.590478161,77.5275119457895
397,"ti_ria",0,481,2187,35348.3570456922,70.7649197426923
397,"ti_mok",0,481,680,45563.8743349858,98.52404574
397,"ti_ure",0,481,64,58789.9011031665,128.9600171
398,"to",84,3320,1071785,240991.746718285,151.034695845115
398,"ti_ban",1,3320,27025,2983.79706931724,16.5433106120811
398,"ti_mal",42,3320,189560,3841.78667998437,11.0346958451149
398,"ti_lub",5,3320,6434,40610.1489775139,79.1937766631579
398,"ti_ria",0,3320,2187,35489.2862501764,71.6399064453846
398,"ti_mok",5,3320,680,45914.7737492726,100.19031045
398,"ti_ure",0,3320,64,59204.2283411229,130.6262818
399,"to",17,574,1071785,241926.44873779,151.18950753392
399,"ti_ban",0,574,27025,2139.24690648232,15.0772417355946
399,"ti_mal",4,574,189560,4830.99592171399,11.1895075339195
399,"ti_lub",0,574,6434,41276.5600274614,79.4867526726315
399,"ti_ria",0,574,2187,35657.6457429269,69.9165274461538
399,"ti_mok",0,574,680,46284.5715700754,100.483286454
399,"ti_ure",0,574,64,59632.4103153322,130.9192578
401,"to",0,70,1071785,243847.130532488,152.300340220057
401,"ti_ban",0,70,27025,1380.75385870627,14.0991409877838
401,"ti_mal",4,70,189560,6817.64031760593,12.3003402200575
401,"ti_lub",0,70,6434,42648.328963327,80.5975853560526
401,"ti_ria",0,70,2187,36075.0564435996,67.6948410819231
401,"ti_mok",0,70,680,47079.0581730658,101.594119146
401,"ti_ure",0,70,64,60529.1527491136,132.0300905
443,"to",2,25,1071785,246879.910750261,167.371400503333
443,"ti_ban",0,25,27025,16650.0615882522,45.0153396954054
443,"ti_mal",0,25,189560,10306.7814750758,27.3714005033333
443,"ti_lub",0,25,6434,32172.113549422,85.1161581252632
443,"ti_ria",0,25,2187,35107.9750072083,92.4273814434615
443,"ti_mok",1,25,680,41907.0006790257,106.11269193
443,"ti_ure",0,25,64,53819.7374248714,136.5486633
445,"to",2,95,1071785,244968.969895798,147.974723632471
445,"ti_ban",0,95,27025,14653.2867596248,23.7406025386486
445,"ti_mal",0,95,189560,8338.90242062788,7.97472363247126
445,"ti_lub",0,95,6434,33019.9817041956,69.5898245836842
445,"ti_ria",0,95,2187,34679.3333550826,75.3026296926923
445,"ti_mok",0,95,680,42077.4674815124,90.586358382
445,"ti_ure",0,95,64,54262.8102210168,121.0223297
447,"to",12,301,1071785,243109.996361168,147.854900208816
447,"ti_ban",0,301,27025,12656.6702477495,22.6297593568378
447,"ti_mal",0,301,189560,6389.27789560675,7.85490020881609
447,"ti_lub",0,301,6434,33964.3035470668,71.8115527894737
447,"ti_ria",0,301,2187,34361.65511869,76.1045360211538
447,"ti_mok",1,301,680,42341.6027729024,92.808086586
447,"ti_ure",0,301,64,54775.2073053633,123.2440579
