"admin2","admin4Id","areaId","ad4.X","ad4.Y","w","ad2.X","ad2.Y","aid.X","aid.Y","d2","d1","aid.pop","ad4.pop","ad2.pop"
"Malabo","L008",336,474512.007743864,415059.193470738,1,474656.387942084,413489.949758617,475930.564,414015.4171,1761.18453432107,1378.27448406548,16076,417,197050
"Malabo","L008",394,474512.007743864,415059.193470738,1,474656.387942084,413489.949758617,474931.7041,413021.5977,2080.37053341032,543.279520707583,12493,417,197050
"Malabo","L013",969,458525.370855312,405371.188743197,2,474656.387942084,413489.949758617,459948.3697,403085.7723,2692.22102191133,18015.901565003,75,233,197050
"Malabo","L013",1028,458525.370855312,405371.188743197,1,474656.387942084,413489.949758617,459947.9722,402091.6912,3574.7585543288,18608.0034343042,427,233,197050
"Malabo","L013",452,458525.370855312,405371.188743197,2,474656.387942084,413489.949758617,473932.8238,412027.7876,16783.9183322361,1631.39916813807,4624,233,197050
"Malabo","L013",220,458525.370855312,405371.188743197,1,474656.387942084,413489.949758617,477928.2225,416003.0837,22124.8241194878,4125.62038749364,2770,233,197050
"Malabo","L013",502,458525.370855312,405371.188743197,1,474656.387942084,413489.949758617,464944.8089,411036.5162,8561.8409236795,10016.6912559586,2162,233,197050
"Malabo","L013",510,458525.370855312,405371.188743197,1,474656.387942084,413489.949758617,472933.9233,411033.9866,15481.3973244776,2999.77323804885,1242,233,197050
"Malabo","L014",1116,474966.569102579,413067.961712685,2,474656.387942084,413489.949758617,488910.9269,401090.2436,18382.3514700762,18892.9773652218,224,1297,197050
"Malabo","L014",211,474966.569102579,413067.961712685,1,474656.387942084,413489.949758617,468940.9555,416005.547,6703.53836476257,6244.5494217664,243,1297,197050
"Malabo","L014",514,474966.569102579,413067.961712685,1,474656.387942084,413489.949758617,476928.4638,411032.9657,2826.70118254632,3346.50554585253,2067,1297,197050
"Malabo","L014",451,474966.569102579,413067.961712685,1,474656.387942084,413489.949758617,472934.1979,412028.0587,2282.9653919551,2258.99623911113,5281,1297,197050
"Malabo","L014",1757,474966.569102579,413067.961712685,2,474656.387942084,413489.949758617,480919.0384,390156.7335,23671.8454910142,24159.0515486312,115,1297,197050
"Malabo","L014",735,474966.569102579,413067.961712685,3,474656.387942084,413489.949758617,461947.3424,407061.3109,14338.0653478314,14242.4448801914,136,1297,197050
"Malabo","L014",2444,474966.569102579,413067.961712685,3,474656.387942084,413489.949758617,459938.726,378233.8049,37937.5084733624,38204.7814197812,45,1297,197050
"Malabo","L014",453,474966.569102579,413067.961712685,2,474656.387942084,413489.949758617,474931.4491,412027.5267,1041.02758378493,1488.06580599402,5136,1297,197050
"Malabo","L014",335,474966.569102579,413067.961712685,5,474656.387942084,413489.949758617,474931.9596,414015.669,948.339032255668,593.565884638585,16625,1297,197050
"Malabo","L014",2919,474966.569102579,413067.961712685,4,474656.387942084,413489.949758617,462932.8897,370280.139,44447.8032354377,44771.9572592894,165,1297,197050
"Malabo","L014",207,474966.569102579,413067.961712685,1,474656.387942084,413489.949758617,464946.5958,416006.9094,10442.0916723223,10030.7103077913,65,1297,197050
"Malabo","L014",506,474966.569102579,413067.961712685,1,474656.387942084,413489.949758617,468939.3224,411035.1105,6360.83224638634,6221.82241775943,530,1297,197050
"Malabo","L014",512,474966.569102579,413067.961712685,1,474656.387942084,413489.949758617,474931.1948,411033.4558,2034.8134189727,2471.81742405851,3657,1297,197050
"Malabo","L014",447,474966.569102579,413067.961712685,1,474656.387942084,413489.949758617,468939.6874,412029.245,6115.73670673434,5900.36638520969,442,1297,197050
"Malabo","L014",395,474966.569102579,413067.961712685,2,474656.387942084,413489.949758617,475930.3186,413021.3464,964.876199911135,1357.38293376808,15624,1297,197050
"Malabo","L014",394,474966.569102579,413067.961712685,2,474656.387942084,413489.949758617,474931.7041,413021.5977,58.0102583780125,543.279520707583,12493,1297,197050
"Malabo","L014",460,474966.569102579,413067.961712685,1,474656.387942084,413489.949758617,481921.8102,412025.9856,7032.85809203146,7411.44733797206,2760,1297,197050
"Malabo","L014",391,474966.569102579,413067.961712685,1,474656.387942084,413489.949758617,471935.8568,413022.413,3031.0545600886,2760.41306976114,1432,1297,197050
"Malabo","L014",338,474966.569102579,413067.961712685,2,474656.387942084,413489.949758617,477927.7709,414014.9439,3108.93733422519,3313.2409066997,6229,1297,197050
"Malabo","L014",502,474966.569102579,413067.961712685,1,474656.387942084,413489.949758617,464944.8089,411036.5162,10225.578146443,10016.6912559586,2162,1297,197050
"Malabo","L014",333,474966.569102579,413067.961712685,4,474656.387942084,413489.949758617,472934.7491,414016.2036,2242.19874224871,1800.27314820376,2127,1297,197050
"Malabo","L014",277,474966.569102579,413067.961712685,1,474656.387942084,413489.949758617,475930.81,415009.488,2167.78339153046,1983.21659148156,9718,1297,197050
"Malabo","L014",2198,474966.569102579,413067.961712685,5,474656.387942084,413489.949758617,449950.8711,382214.3772,39720.6347360868,39856.2918659504,1168,1297,197050
"Malabo","L014",279,474966.569102579,413067.961712685,4,474656.387942084,413489.949758617,477927.9965,415009.0137,3540.86642612429,3607.07330314175,9281,1297,197050
"Malabo","L014",278,474966.569102579,413067.961712685,2,474656.387942084,413489.949758617,476929.4035,415009.2457,2760.67064154794,2734.01899847646,11420,1297,197050
"Malabo","L014",2132,474966.569102579,413067.961712685,1,474656.387942084,413489.949758617,442958.7876,383212.0231,43770.7110652918,43834.8116249071,110,1297,197050
"Malabo","L014",334,474966.569102579,413067.961712685,7,474656.387942084,413489.949758617,473933.3547,414015.9312,1402.2047463116,894.110477423316,10423,1297,197050
"Malabo","L014",2400,474966.569102579,413067.961712685,1,474656.387942084,413489.949758617,474923.3797,379223.2923,33844.696969812,34267.6975880345,69,1297,197050
"Malabo","L014",2918,474966.569102579,413067.961712685,2,474656.387942084,413489.949758617,461933.8505,370280.4836,44728.2912418693,45043.5447614628,306,1297,197050
"Malabo","L024",2918,475486.942912134,414133.179577347,2,474656.387942084,413489.949758617,461933.8505,370280.4836,45899.2947485416,45043.5447614628,306,800,197050
"Malabo","L024",2252,475486.942912134,414133.179577347,1,474656.387942084,413489.949758617,444955.6301,381222.7701,44891.6040479627,43855.5116207255,597,800,197050
"Malabo","L024",335,475486.942912134,414133.179577347,1,474656.387942084,413489.949758617,474931.9596,414015.669,567.287592439691,593.565884638585,16625,800,197050
"Malabo","L024",277,475486.942912134,414133.179577347,2,474656.387942084,413489.949758617,475930.81,415009.488,982.310767172272,1983.21659148156,9718,800,197050
"Malabo","L024",1815,475486.942912134,414133.179577347,1,474656.387942084,413489.949758617,479920.0063,389162.859,25360.7760278807,24890.0185414912,98,800,197050
"Malabo","L024",278,475486.942912134,414133.179577347,2,474656.387942084,413489.949758617,476929.4035,415009.2457,1687.65648127984,2734.01899847646,11420,800,197050
