"admin4Id","areaId","admin2","ad4.X","ad4.Y","w","ad2.X","ad2.Y","ad2.pop","aid.pop","aid.X","aid.Y","d2","d1","ad4.pop"
"L266",2198,"Luba",466272.049012862,370675.581775172,3,454405.650260343,382376.876239581,7178,848,449950.8711,382214.3772,19988.1126752704,4457.74195140231,5580.82063063099
"L266",452,"Luba",466272.049012862,370675.581775172,1,454405.650260343,382376.876239581,7178,4216,473932.8238,412027.7876,42055.8247680171,35503.3385888044,5580.82063063099
"L266",2199,"Luba",466272.049012862,370675.581775172,1,454405.650260343,382376.876239581,7178,1050,450949.8119,382213.9081,19180.8217895106,3459.67879829005,5580.82063063099
"L266",275,"Luba",466272.049012862,370675.581775172,1,454405.650260343,382376.876239581,7178,841,473933.6211,415010.0033,44991.5616397955,38029.7597528031,5580.82063063099
"L266",454,"Luba",466272.049012862,370675.581775172,1,454405.650260343,382376.876239581,7178,3624,475930.0738,412027.2759,42464.5740562917,36639.4187827413,5580.82063063099
"L266",519,"Luba",466272.049012862,370675.581775172,1,454405.650260343,382376.876239581,7178,732,481921.6268,411031.9184,43284.4451355461,39727.0739690998,5580.82063063099
"L266",336,"Luba",466272.049012862,370675.581775172,3,454405.650260343,382376.876239581,7178,17457,475930.564,414015.4171,44403.0205925222,38266.423654113,5580.82063063099
"L266",2919,"Luba",466272.049012862,370675.581775172,1,454405.650260343,382376.876239581,7178,218,462932.8897,370280.139,3362.49310855896,14800.1643337063,5580.82063063099
"L266",2978,"Luba",466272.049012862,370675.581775172,2,454405.650260343,382376.876239581,7178,58,462932.5518,369286.0671,3617.04197753218,15622.974550192,5580.82063063099
"L266",277,"Luba",466272.049012862,370675.581775172,2,454405.650260343,382376.876239581,7178,11034,475930.81,415009.488,45373.8570650378,39092.4526235432,5580.82063063099
"L266",279,"Luba",466272.049012862,370675.581775172,1,454405.650260343,382376.876239581,7178,10886,477927.9965,415009.0137,45840.0948739884,40226.324314483,5580.82063063099
"L266",451,"Luba",466272.049012862,370675.581775172,1,454405.650260343,382376.876239581,7178,3833,472934.1979,412028.0587,41885.696551601,34964.2631687853,5580.82063063099
"L266",394,"Luba",466272.049012862,370675.581775172,2,454405.650260343,382376.876239581,7178,13462,474931.7041,413021.5977,43222.3864557934,36883.8425277945,5580.82063063099
"L266",1321,"Luba",466272.049012862,370675.581775172,1,454405.650260343,382376.876239581,7178,246,457948.4245,397122.0967,27725.4553921165,15164.8533042535,5580.82063063099
"L266",338,"Luba",466272.049012862,370675.581775172,1,454405.650260343,382376.876239581,7178,6008,477927.7709,414014.9439,44879.3511773205,39424.0724009051,5580.82063063099
"L266",219,"Luba",466272.049012862,370675.581775172,2,454405.650260343,382376.876239581,7178,3185,476929.6398,416003.3162,46563.8029962524,40473.047441405,5580.82063063099
"L266",395,"Luba",466272.049012862,370675.581775172,7,454405.650260343,382376.876239581,7178,15397,475930.3186,413021.3464,43433.2355815123,37448.5633709095,5580.82063063099
"L266",2918,"Luba",466272.049012862,370675.581775172,1,454405.650260343,382376.876239581,7178,398,461933.8505,370280.4836,4356.15299375715,14247.6845044831,5580.82063063099
"L266",399,"Luba",466272.049012862,370675.581775172,2,454405.650260343,382376.876239581,7178,574,479924.7709,413020.4433,44491.3936900652,39877.9854105964,5580.82063063099
"L266",460,"Luba",466272.049012862,370675.581775172,1,454405.650260343,382376.876239581,7178,2731,481921.8102,412025.9856,44212.7913808977,40450.0771778108,5580.82063063099
"L266",398,"Luba",466272.049012862,370675.581775172,3,454405.650260343,382376.876239581,7178,3320,478926.1587,413020.6537,44195.379942851,39246.6104419599,5580.82063063099
"L266",272,"Luba",466272.049012862,370675.581775172,1,454405.650260343,382376.876239581,7178,247,470937.8329,415010.8533,44580.1058821272,36582.639620603,5580.82063063099
"L266",401,"Luba",466272.049012862,370675.581775172,2,454405.650260343,382376.876239581,7178,70,481921.994,413020.053,45143.9367070564,41184.3836274045,5580.82063063099
"L266",335,"Luba",466272.049012862,370675.581775172,5,454405.650260343,382376.876239581,7178,19485,474931.9596,414015.669,44196.800925326,37713.9573956912,5580.82063063099
"L266",334,"Luba",466272.049012862,370675.581775172,2,454405.650260343,382376.876239581,7178,11234,473933.3547,414015.9312,44012.2879784491,37180.1161842051,5580.82063063099
"L285",278,"Luba",453432.738817479,388338.831869961,1,454405.650260343,382376.876239581,7178,13054,476929.4035,415009.2457,35544.3979421282,39650.8637560675,399.55
"L285",519,"Luba",453432.738817479,388338.831869961,1,454405.650260343,382376.876239581,7178,732,481921.6268,411031.9184,36422.4232409168,39727.0739690998,399.55
"L288",394,"Baney",479796.580988385,413582.348409526,1,484180.090192218,408103.75112541,27025,13462,474931.7041,413021.5977,4897.08775675711,10474.6293605995,1876.78448001274
"L288",339,"Baney",479796.580988385,413582.348409526,1,484180.090192218,408103.75112541,27025,3051,478926.3735,414014.7227,971.703967217038,7908.29463523576,1876.78448001274
"L288",340,"Baney",479796.580988385,413582.348409526,2,484180.090192218,408103.75112541,27025,313,479924.9756,414014.5118,450.83297612085,7283.06885489795,1876.78448001274
"L288",334,"Baney",479796.580988385,413582.348409526,4,484180.090192218,408103.75112541,27025,11234,473933.3547,414015.9312,5879.23605113872,11830.0237312463,1876.78448001274
"L288",337,"Baney",479796.580988385,413582.348409526,1,484180.090192218,408103.75112541,27025,15012,476929.1677,414015.1754,2899.89623436641,9355.25595279793,1876.78448001274
"L288",508,"Baney",479796.580988385,413582.348409526,2,484180.090192218,408103.75112541,27025,486,470936.6492,411034.5579,9218.98192726677,13563.8621957145,1876.78448001274
"L288",2871,"Baney",479796.580988385,413582.348409526,1,484180.090192218,408103.75112541,27025,36,473922.5034,371271.0172,42717.1339890277,38234.3873394083,1876.78448001274
"L289",2493,"Baney",478164.569341764,413818.207065443,1,484180.090192218,408103.75112541,27025,375,449948.5287,377243.939,46193.3115723542,46088.2610499795,3310.43736301668
"L289",335,"Baney",478164.569341764,413818.207065443,4,484180.090192218,408103.75112541,27025,19485,474931.9596,414015.669,3238.63504553224,10976.278622858,3310.43736301668
"L289",2206,"Baney",478164.569341764,413818.207065443,3,484180.090192218,408103.75112541,27025,67,457942.3652,382210.8891,37522.7942632185,36862.6981735487,3310.43736301668
"L289",211,"Baney",478164.569341764,413818.207065443,1,484180.090192218,408103.75112541,27025,245,468940.9555,416005.547,9479.42552538377,17165.9431494818,3310.43736301668
"L289",459,"Baney",478164.569341764,413818.207065443,3,484180.090192218,408103.75112541,27025,615,480923.1887,412026.1752,3289.58340377549,5098.31520709869,3310.43736301668
"L289",394,"Baney",478164.569341764,413818.207065443,1,484180.090192218,408103.75112541,27025,13462,474931.7041,413021.5977,3329.56515967489,10474.6293605995,3310.43736301668
"L289",2919,"Baney",478164.569341764,413818.207065443,1,484180.090192218,408103.75112541,27025,218,462932.8897,370280.139,46125.5616288896,43382.8210582246,3310.43736301668
"L289",277,"Baney",478164.569341764,413818.207065443,1,484180.090192218,408103.75112541,27025,11034,475930.81,415009.488,2531.56691832528,10758.2445348109,3310.43736301668
"L289",2694,"Baney",478164.569341764,413818.207065443,1,484180.090192218,408103.75112541,27025,355,473923.2222,374253.2091,39791.683673633,35370.3624016466,3310.43736301668
"L289",395,"Baney",478164.569341764,413818.207065443,1,484180.090192218,408103.75112541,27025,15397,475930.3186,413021.3464,2372.10103014304,9604.24253173729,3310.43736301668
"L289",1321,"Baney",478164.569341764,413818.207065443,1,484180.090192218,408103.75112541,27025,246,457948.4245,397122.0967,26219.3175654565,28437.5986839147,3310.43736301668
"L289",278,"Baney",478164.569341764,413818.207065443,2,484180.090192218,408103.75112541,27025,13054,476929.4035,415009.2457,1715.86936730888,10012.9073114853,3310.43736301668
"L289",2258,"Baney",478164.569341764,413818.207065443,1,484180.090192218,408103.75112541,27025,336,450949.3504,381219.8213,42465.5495261844,42743.7451564042,3310.43736301668
"L289",337,"Baney",478164.569341764,413818.207065443,2,484180.090192218,408103.75112541,27025,15012,476929.1677,414015.1754,1251.0050924327,9355.25595279793,3310.43736301668
"L289",338,"Baney",478164.569341764,413818.207065443,2,484180.090192218,408103.75112541,27025,6008,477927.7709,414014.9439,307.861793819183,8604.28361632759,3310.43736301668
"L289",2152,"Baney",478164.569341764,413818.207065443,1,484180.090192218,408103.75112541,27025,276,462937.3641,383203.0908,34192.8811804653,32730.662939672,3310.43736301668
"L289",1729,"Baney",478164.569341764,413818.207065443,3,484180.090192218,408103.75112541,27025,100,452951.2732,390165.6805,34570.9750406509,36014.0720898874,3310.43736301668
"L289",734,"Baney",478164.569341764,413818.207065443,2,484180.090192218,408103.75112541,27025,37,460948.6565,407061.6996,18494.2706832635,23254.7926840364,3310.43736301668
"L289",510,"Baney",478164.569341764,413818.207065443,1,484180.090192218,408103.75112541,27025,1065,472933.9233,411033.9866,5925.49927132039,11621.6414376007,3310.43736301668
"L295",281,"Malabo",468396.57002307,414387.439402961,3,474656.387942084,413489.949758617,189560,551,479925.1808,415008.5805,11545.331641333,5483.28528423403,1577.11611499612
"L295",394,"Malabo",468396.57002307,414387.439402961,4,474656.387942084,413489.949758617,189560,13462,474931.7041,413021.5977,6676.33888901643,543.279520707583,1577.11611499612
"L295",338,"Malabo",468396.57002307,414387.439402961,2,474656.387942084,413489.949758617,189560,6008,477927.7709,414014.9439,9538.47697780459,3313.2409066997,1577.11611499612
"L295",509,"Malabo",468396.57002307,414387.439402961,2,474656.387942084,413489.949758617,189560,2573,471935.2866,411034.2672,4875.0670594924,3665.34709715031,1577.11611499612
"L295",334,"Malabo",468396.57002307,414387.439402961,2,474656.387942084,413489.949758617,189560,11234,473933.3547,414015.9312,5549.23444301546,894.110477423316,1577.11611499612
"L295",447,"Malabo",468396.57002307,414387.439402961,2,474656.387942084,413489.949758617,189560,301,468939.6874,412029.245,2419.92919881569,5900.36638520969,1577.11611499612
"L295",386,"Malabo",468396.57002307,414387.439402961,1,474656.387942084,413489.949758617,189560,572,466942.7638,413023.9761,1993.13439405387,7727.68586679539,1577.11611499612
"L295",1321,"Malabo",468396.57002307,414387.439402961,1,474656.387942084,413489.949758617,189560,246,457948.4245,397122.0967,20180.5798608949,23389.3705800413,1577.11611499612
"L297",793,"Malabo",475305.603629933,412725.279954356,1,474656.387942084,413489.949758617,189560,141,460948.2651,406067.6188,15825.8529536117,15588.5736587064,2956.59779857226
"L297",279,"Malabo",475305.603629933,412725.279954356,7,474656.387942084,413489.949758617,189560,10886,477927.9965,415009.0137,3477.41055757972,3607.07330314175,2956.59779857226
"L297",334,"Malabo",475305.603629933,412725.279954356,1,474656.387942084,413489.949758617,189560,11234,473933.3547,414015.9312,1883.83857153017,894.110477423316,2956.59779857226
"L297",2457,"Malabo",475305.603629933,412725.279954356,1,474656.387942084,413489.949758617,189560,180,472925.2328,378229.7165,34577.5948168974,35302.7045363106,2956.59779857226
"L297",398,"Malabo",475305.603629933,412725.279954356,2,474656.387942084,413489.949758617,189560,3320,478926.1587,413020.6537,3632.58374507733,4295.48380462391,2956.59779857226
"L297",335,"Malabo",475305.603629933,412725.279954356,7,474656.387942084,413489.949758617,189560,19485,474931.9596,414015.669,1343.39634889404,593.565884638585,2956.59779857226
"L297",2919,"Malabo",475305.603629933,412725.279954356,4,474656.387942084,413489.949758617,189560,218,462932.8897,370280.139,44211.6957447591,44771.9572592894,2956.59779857226
"L297",1058,"Malabo",475305.603629933,412725.279954356,1,474656.387942084,413489.949758617,189560,168,489909.7555,402084.2008,18069.6933403212,19046.1631612215,2956.59779857226
"L297",393,"Malabo",475305.603629933,412725.279954356,2,474656.387942084,413489.949758617,189560,6916,473933.089,413021.8593,1404.1921939834,861.550948620239,2956.59779857226
"L297",2252,"Malabo",475305.603629933,412725.279954356,5,474656.387942084,413489.949758617,189560,602,444955.6301,381222.7701,43743.9026653028,43855.5116207255,2956.59779857226
"L297",1524,"Malabo",475305.603629933,412725.279954356,1,474656.387942084,413489.949758617,189560,144,483916.1752,394132.4736,20489.8606850763,21458.2278693578,2956.59779857226
"L297",2198,"Malabo",475305.603629933,412725.279954356,2,474656.387942084,413489.949758617,189560,848,449950.8711,382214.3772,39670.8664960858,39856.2918659504,2956.59779857226
"L297",1815,"Malabo",475305.603629933,412725.279954356,1,474656.387942084,413489.949758617,189560,123,479920.0063,389162.859,24010.006106451,24890.0185414912,2956.59779857226
"L297",512,"Malabo",475305.603629933,412725.279954356,1,474656.387942084,413489.949758617,189560,1051,474931.1948,411033.4558,1732.75818889886,2471.81742405851,2956.59779857226
"L297",453,"Malabo",475305.603629933,412725.279954356,1,474656.387942084,413489.949758617,189560,2600,474931.4491,412027.5267,791.739361301902,1488.06580599402,2956.59779857226
"L306",454,"Malabo",473782.690040363,413890.907016436,1,474656.387942084,413489.949758617,189560,3624,475930.0738,412027.2759,2843.30405502199,1939.50779357447,1510.97089314195
"L306",335,"Malabo",473782.690040363,413890.907016436,3,474656.387942084,413489.949758617,189560,19485,474931.9596,414015.669,1156.02165777811,593.565884638585,1510.97089314195
"L306",447,"Malabo",473782.690040363,413890.907016436,1,474656.387942084,413489.949758617,189560,301,468939.6874,412029.245,5188.49304114406,5900.36638520969,1510.97089314195
"L306",2573,"Malabo",473782.690040363,413890.907016436,1,474656.387942084,413489.949758617,189560,301,470926.7767,376242.1089,37756.9628097897,37434.0974065883,1510.97089314195
"L306",279,"Malabo",473782.690040363,413890.907016436,1,474656.387942084,413489.949758617,189560,10886,477927.9965,415009.0137,4293.4517815089,3607.07330314175,1510.97089314195
"L306",219,"Malabo",473782.690040363,413890.907016436,1,474656.387942084,413489.949758617,189560,3185,476929.6398,416003.3162,3790.19331281222,3388.9061477397,1510.97089314195
"L306",511,"Malabo",473782.690040363,413890.907016436,2,474656.387942084,413489.949758617,189560,2095,473932.5594,411033.7161,2861.11879479415,2560.66623050693,1510.97089314195
"L306",390,"Malabo",473782.690040363,413890.907016436,1,474656.387942084,413489.949758617,189560,142,470937.2397,413022.7052,2974.95580362679,3748.38380160777,1510.97089314195
"L309",278,"Malabo",473348.834750913,411849.545432651,7,474656.387942084,413489.949758617,189560,13054,476929.4035,415009.2457,4775.37206366383,2734.01899847646,3485.37142757284
"L309",455,"Malabo",473348.834750913,411849.545432651,1,474656.387942084,413489.949758617,189560,508,476928.6978,412027.0354,3584.26033355947,2702.50078834938,3485.37142757284
"L309",3104,"Malabo",473348.834750913,411849.545432651,1,474656.387942084,413489.949758617,189560,53,470924.379,367295.5167,44619.9446660131,46344.9407848456,3485.37142757284
"L309",336,"Malabo",473348.834750913,411849.545432651,5,474656.387942084,413489.949758617,189560,17457,475930.564,414015.4171,3369.91483497943,1378.27448406548,3485.37142757284
"L309",277,"Malabo",473348.834750913,411849.545432651,2,474656.387942084,413489.949758617,189560,11034,475930.81,415009.488,4080.66578095279,1983.21659148156,3485.37142757284
