areaId,N1,w_total,Peri,Malabo,Baney,Luba,Riaba,Moka,Ureka,N2.ti_mal,N2.ti_ban,N2.ti_lub,N2.ti_ria,N2.ti_mok,N2.ti_ure,N2.to,t.ti_mal,t.ti_ban,t.ti_lub,t.ti_ria,t.ti_mok,t.ti_ure,t.to,t_mal,to,ti_ban,ti_mal,ti_lub,ti_ria,ti_mok,ti_ure,d.to,d.ti_ban,d.ti_mal,d.ti_lub,d.ti_ria,d.ti_mok,d.ti_ure,d_mal
617,10,0,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,44.7968315982759,64.2710296348649,96.4676325463158,105.347725823077,117.46416634,147.9001377,184.796831598276,44.7968315982759,0,0,0,0,0,0,0,249434.932274123,19818.6884478809,13948.9171615148,28284.9737097103,33137.7575504276,38847.1764586266,50342.294234234,13948.9171615148
618,63,1,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,12.1859718801149,30.8605128286487,63.1191344181579,71.9873010273077,84.115668224,114.5516396,152.185971880115,12.1859718801149,1,0,0,0,0,0,0,248495.413588648,18829.3751349862,13009.39847604,28647.7706539671,32805.0339256416,38849.4244271672,50510.4645691589,13009.39847604
630,29,4,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,13.2721846150345,24.9359064133784,80.8589108068421,79.8668495276923,101.855444618,132.291416,153.272184615034,13.2721846150345,3,0,0,0,1,0,0,240056.235623263,7162.77050903153,4570.22051065522,34988.2519807176,31120.9609775709,40829.1217897815,53948.9750071581,4570.22051065522
633,67,0,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,16.2431961805862,24.9370991801081,85.0855189373684,79.8903255553846,106.082052736,136.5180241,156.243196180586,16.2431961805862,0,0,0,0,0,0,0,240840.901966959,4513.71475344873,5354.88685435115,37012.6903156944,31408.4966521182,41849.1180941159,55183.2352379834,5354.88685435115
634,175,4,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,17.4059067235517,26.0736792075676,86.2396102634211,81.0444168807692,107.236144052,137.6721154,157.405906723552,17.4059067235517,0,1,1,2,0,0,0,241424.013845084,3748.62767674761,5937.99873247547,37716.2651241085,31567.0286565012,42230.9123782289,55624.4535170306,5937.99873247547
644,32,1,0,0,1,0,0,0,0,189560,27025,6434,2187,680,64,1071785,23.0134772011494,12.7559232771351,90.1487592163158,58.2801682084615,101.866176842,142.7432275,163.013477201149,23.0134772011494,0,0,1,0,0,0,0,250005.248947606,7780.6638129343,14519.2338349978,45365.431743233,34728.2513473265,47055.3778494769,60767.9286748499,14519.2338349978
645,3228,201,0,0,1,0,0,0,0,189560,27025,6434,2187,680,64,1071785,24.1243621316092,13.2792770866216,91.1400471307895,58.7418121761538,102.327820826,143.8541124,164.124362131609,24.1243621316092,26,11,134,23,5,1,1,250956.398321012,8726.82041517902,15470.3832084042,46179.4988298823,35184.9767417708,47626.242757494,61348.0481778985,15470.3832084042
646,67,4,0,0,1,0,0,0,0,189560,27025,6434,2187,680,64,1071785,24.9191582916092,14.7045313771351,92.146547681579,60.6858607530769,104.271869412,144.6489086,164.919158291609,24.9191582916092,1,0,1,1,1,0,0,251913.183518526,9683.52216407142,16427.168405918,47000.6909693361,35663.8326787322,48211.0443154105,61938.8446234151,16427.168405918
676,38,1,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,14.075303307908,33.2611484875676,62.3810355684211,71.7093977826923,83.377569362,113.8135407,154.075303307908,14.075303307908,0,0,1,0,0,0,0,249791.25935652,19975.2959223449,14305.2442439117,27355.198589839,32207.1282255733,37853.1533793506,49361.0726596651,14305.2442439117
677,35,0,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,12.4095783453103,31.3170817513514,62.0133453713158,71.1464667038461,83.009879162,113.4458505,152.40957834531,12.4095783453103,0,0,0,0,0,0,0,248876.754647991,18994.1309462521,13390.7395353825,27730.1672679332,31864.6861503033,37855.4614162798,49532.5772261144,13390.7395353825
